customer_id,ITE,segment,recommended_discount,expected_gain,treated,purchased
1,0.0023707628185623995,Sure Things / Lost Causes,0,0.2371,1,0
2,0.010523300115972018,Persuadables,20,0.0,0,0
3,0.0065239866255518645,Sure Things / Lost Causes,0,0.6524,1,0
4,0.0064331973734432545,Sure Things / Lost Causes,0,0.6433,1,0
5,0.0010291300235629633,Sure Things / Lost Causes,0,0.1029,1,0
6,0.003958988386930755,Sure Things / Lost Causes,0,0.3959,1,0
7,0.005016502328120451,Sure Things / Lost Causes,0,0.5017,1,0
8,0.004015128975895961,Sure Things / Lost Causes,0,0.4015,1,0
9,0.012134965634007885,Persuadables,20,0.0,1,0
10,0.006367424220072325,Sure Things / Lost Causes,0,0.6367,1,0
11,0.007842673573939437,Sure Things / Lost Causes,0,0.7843,1,0
12,0.005888828490570582,Sure Things / Lost Causes,0,0.5889,1,0
13,0.007930755604785669,Sure Things / Lost Causes,0,0.7931,1,0
14,0.0033431739758733145,Sure Things / Lost Causes,0,0.3343,1,0
15,0.006368871107858497,Sure Things / Lost Causes,0,0.6369,0,0
16,0.0034758525061822213,Sure Things / Lost Causes,0,0.3476,0,0
17,0.001346888133978221,Sure Things / Lost Causes,0,0.1347,1,0
18,0.002138773357103812,Sure Things / Lost Causes,0,0.2139,1,0
19,0.008473787721518328,Sure Things / Lost Causes,0,0.8474,1,0
20,0.006482634853091954,Sure Things / Lost Causes,0,0.6483,1,0
21,0.006232977343944964,Sure Things / Lost Causes,0,0.6233,0,0
22,0.0026378088846609536,Sure Things / Lost Causes,0,0.2638,1,0
23,0.0012907475450130153,Sure Things / Lost Causes,0,0.1291,1,0
24,0.005363287337975536,Sure Things / Lost Causes,0,0.5363,0,0
25,0.0013954231268092187,Sure Things / Lost Causes,0,0.1395,0,0
26,0.006253717786810207,Sure Things / Lost Causes,0,0.6254,1,0
27,0.004634825074384972,Sure Things / Lost Causes,0,0.4635,1,0
28,0.004059789553490007,Sure Things / Lost Causes,0,0.406,1,0
29,0.007437392009776874,Sure Things / Lost Causes,0,0.7437,0,0
30,0.0015949414739369395,Sure Things / Lost Causes,0,0.1595,0,0
